	asin	review	title	body	link	rating	date
0	B073JYC4XM	R34BMDFFVZ2SMN	The Only Brand to Buy	Trusted brand. Usually goes on a great sale often.	https://www.amazon.com/gp/customer-reviews/R34BMDFFVZ2SMN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B073JYC4XM	5	2022-11-02T00:00:00.000Z
1	B073JYC4XM	R33EUPQ5KPN9F7	La capacidad	Para teléfono Samsum	https://www.amazon.com/gp/customer-reviews/R33EUPQ5KPN9F7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B073JYC4XM	5	2022-10-31T00:00:00.000Z
2	B073JYC4XM	R13J6WVWHK71F8	Great for my AKASO camera	The accessories worked great with my AKASO camera.	https://www.amazon.com/gp/customer-reviews/R13J6WVWHK71F8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B073JYC4XM	5	2022-10-30T00:00:00.000Z
3	B073JYC4XM	R1561JZUATH9PD	Works As Advertised	I used this in a dashcam attached to my rear view mirror, and even in the Florida heat during the Summer, it never corrupted.	https://www.amazon.com/gp/customer-reviews/R1561JZUATH9PD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B073JYC4XM	5	2022-10-30T00:00:00.000Z
4	B073JYC4XM	R3QP8WEGIRFIJN	Great and Fast	Fast speeds, quick to read and write data. I had used it originally for a cell phone and then started using it for my Nintendo Switch after transferring all files and photos to the laptop and formatting the SD.	https://www.amazon.com/gp/customer-reviews/R3QP8WEGIRFIJN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B073JYC4XM	5	2022-10-29T00:00:00.000Z
5	B073JYC4XM	RL3847A9Y1U6C	Works great	Easy to install, good storage capacity for now, will upgrade to larger of same model if needed.	https://www.amazon.com/gp/customer-reviews/RL3847A9Y1U6C/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B073JYC4XM	5	2022-10-28T00:00:00.000Z
6	B073JYC4XM	RF12BSR0LRXGH	It does what it's supposed to do	It's an SD card. What is there to say.	https://www.amazon.com/gp/customer-reviews/RF12BSR0LRXGH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B073JYC4XM	5	2022-10-26T00:00:00.000Z
7	B073JYC4XM	R2GQT9DTEKGY0K	Stopped working	Stopped working after 4 years	https://www.amazon.com/gp/customer-reviews/R2GQT9DTEKGY0K/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B073JYC4XM	1	2022-10-25T00:00:00.000Z
8	B073JYC4XM	R35LFL5DB8WNDO	Quadrupled my Smartphone memory Easy and Fast	Wow! It was so easy to add this memory to my Android phone and increase my memory for songs, pictures and documents 400%. And my phone accesses this memory card just as if it's always been in the phone - so easy. My phone memory was close to full and I added this 128GB micro SD memory in my phone's memory slot and moved pictures, music and documents to this memory card with the Android My Files app so my phones has lots of memory free now. For about $16 my Android phone is working smoothly and its memory is not almost full any more. What a great buy this 128GB SD micro memory card was.	https://www.amazon.com/gp/customer-reviews/R35LFL5DB8WNDO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B073JYC4XM	5	2022-10-25T00:00:00.000Z
9	B073JYC4XM	R1DGZGJR2SGHAL	Received and worked	Used this to help update a GPS.	https://www.amazon.com/gp/customer-reviews/R1DGZGJR2SGHAL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B073JYC4XM	5	2022-10-24T00:00:00.000Z
10	B073JYC4XM	R1UXPVWRV713N1	Good	Thank you	https://www.amazon.com/gp/customer-reviews/R1UXPVWRV713N1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B073JYC4XM	5	2022-10-24T00:00:00.000Z
11	B073JYC4XM	R3S0XWYBTD8QI8	It is what it is!	Just as described	https://www.amazon.com/gp/customer-reviews/R3S0XWYBTD8QI8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B073JYC4XM	5	2022-10-24T00:00:00.000Z
12	B073JYC4XM	RJXQSVODSVERK	working well	This product is just as I expected. It is working very well.	https://www.amazon.com/gp/customer-reviews/RJXQSVODSVERK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B073JYC4XM	5	2022-10-22T00:00:00.000Z
13	B073JYC4XM	RHW3BD2GC12QR	These are perfect quality for our Camera	The convenience of quick replacement while shooting videos	https://www.amazon.com/gp/customer-reviews/RHW3BD2GC12QR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B073JYC4XM	5	2022-10-21T00:00:00.000Z
14	B073JYC4XM	R62NY1WAZAGZ5	it works	working great in my mp3	https://www.amazon.com/gp/customer-reviews/R62NY1WAZAGZ5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B073JYC4XM	5	2022-10-21T00:00:00.000Z
15	B073JYC4XM	RVLX9TQFGB7FI	As advertised	One of my few trusted brands for SD cards.	https://www.amazon.com/gp/customer-reviews/RVLX9TQFGB7FI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B073JYC4XM	5	2022-10-20T00:00:00.000Z
16	B073JYC4XM	R27LJG3RSLZABY	Working?	Have not been able to have it function	https://www.amazon.com/gp/customer-reviews/R27LJG3RSLZABY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B073JYC4XM	4	2022-10-19T00:00:00.000Z
17	B073JYC4XM	R3BV72ONDNYIDM	Works	Works as expected	https://www.amazon.com/gp/customer-reviews/R3BV72ONDNYIDM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B073JYC4XM	5	2022-10-19T00:00:00.000Z
18	B073JYC4XM	R3EG1AU6BUAB90	SanDisk 32GB Ultra micro SDHC UHS-I Memory Card	Super price and a very reliable brand.	https://www.amazon.com/gp/customer-reviews/R3EG1AU6BUAB90/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B073JYC4XM	5	2022-10-19T00:00:00.000Z
19	B073JYC4XM	R2KJ3360U2R2SG	Needed parts	Exactly what we needed!	https://www.amazon.com/gp/customer-reviews/R2KJ3360U2R2SG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B073JYC4XM	5	2022-10-18T00:00:00.000Z
20	B073JYC4XM	R1YLVJ4GJR557	Great Deal On Sale	If these are on sale for around $10 it is a great deal.	https://www.amazon.com/gp/customer-reviews/R1YLVJ4GJR557/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B073JYC4XM	3	2022-10-18T00:00:00.000Z
21	B073JYC4XM	R2JRCBMTJ6Y9VT	What I Needed	Used in my tablet to store movies and TV series and works great. Have only used 300gb though so I have plenty of room left. Recommend	https://www.amazon.com/gp/customer-reviews/R2JRCBMTJ6Y9VT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B073JYC4XM	5	2022-10-17T00:00:00.000Z
22	B073JYC4XM	RMEWQR3QQP5W3	Best value & quality on the market!	I bought the micro SD Card for my Garmin GPS so I can store more maps and update the data and software.	https://www.amazon.com/gp/customer-reviews/RMEWQR3QQP5W3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B073JYC4XM	5	2022-10-17T00:00:00.000Z
23	B073JYC4XM	R34YNMFMYD5SOH	Pleased	Love my camera and scan card	https://www.amazon.com/gp/customer-reviews/R34YNMFMYD5SOH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B073JYC4XM	5	2022-10-16T00:00:00.000Z
24	B073JYC4XM	R1B5GDR9R8Q9GV	Like these micro SD cards	The SD card I was sent was bad so I could not use it even tried to format it and no go. Trashed it and had to buy another locally. Don’t blame seller for this however.	https://www.amazon.com/gp/customer-reviews/R1B5GDR9R8Q9GV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B073JYC4XM	1	2022-10-16T00:00:00.000Z
25	B073JYC4XM	R2WMQDNK01FYJT	Worked great while it worked. Corrupted out of no where	Worked great in my phone for years. Randomly corrupted today and can't write to it anymore.	https://www.amazon.com/gp/customer-reviews/R2WMQDNK01FYJT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B073JYC4XM	1	2022-10-11T00:00:00.000Z
26	B073JYC4XM	RFE5W3656JM6P	great buy!!!!	would buy again	https://www.amazon.com/gp/customer-reviews/RFE5W3656JM6P/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B073JYC4XM	5	2022-10-10T00:00:00.000Z
27	B073JYC4XM	R3FL7675MCW3BS	Excellent	Excellent	https://www.amazon.com/gp/customer-reviews/R3FL7675MCW3BS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B073JYC4XM	5	2022-10-10T00:00:00.000Z
28	B073JYC4XM	R2MEMRRE8JGZKA	Works great !!	Works great just how you would want it !	https://www.amazon.com/gp/customer-reviews/R2MEMRRE8JGZKA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B073JYC4XM	5	2022-10-10T00:00:00.000Z
29	B073JYC4XM	RCZ88O9Z4O6R2	Great first card for the Switch	First card I used for my switch, took me about a year to outgrow.	https://www.amazon.com/gp/customer-reviews/RCZ88O9Z4O6R2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B073JYC4XM	5	2022-10-08T00:00:00.000Z
30	B09DFHJTF5	R2N0NEH94OLPLX	Worlds best sister	Don’t know anything about PlayStations but my brother wanted one for Christmas and I was too scared to get it through anywhere else so I put myself on the waitlist and got the invitation for this one so I had to get it ! He told me he didn’t mind it being digital too. Where’s my award at ?	https://www.amazon.com/gp/customer-reviews/R2N0NEH94OLPLX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09DFHJTF5	5	2022-11-01T00:00:00.000Z
31	B09DFHJTF5	RJYUOWYNXGI19	No invitation	I can't get my invitation Idk why :(	https://www.amazon.com/gp/customer-reviews/RJYUOWYNXGI19/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09DFHJTF5	5	2022-10-31T00:00:00.000Z
32	B09DFHJTF5	R2ZMEN5CQTES29	Invite please	Lol im just hoping i can be given the invite, Ive waited for what feels like an eternity, please Playstaion	https://www.amazon.com/gp/customer-reviews/R2ZMEN5CQTES29/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09DFHJTF5	5	2022-10-29T00:00:00.000Z
33	B09DFHJTF5	R2BF961CX7OG8G	Thank you	We sent our invite and after 2 day we were invited to buy the PS5 for its regular price when we've tried everywhere else and couldn't get one since last year so thank you we won't be open until Christmas worth the wait	https://www.amazon.com/gp/customer-reviews/R2BF961CX7OG8G/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09DFHJTF5	5	2022-10-29T00:00:00.000Z
34	B09DFHJTF5	R3ACH68OOVY4SH	PS5 box damaged	Outside amazon box was fine but the ps5 box looked like it was ripped open. The wrapper thats around the ps5 seems like someone had already taken a peek.	https://www.amazon.com/gp/customer-reviews/R3ACH68OOVY4SH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09DFHJTF5	1	2022-10-28T00:00:00.000Z
35	B09DFHJTF5	R1S0JH8LQJYY6W	Amazing Console!	Great to play games at high quality.	https://www.amazon.com/gp/customer-reviews/R1S0JH8LQJYY6W/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09DFHJTF5	5	2022-10-28T00:00:00.000Z
36	B09DFHJTF5	R3E2FZ2FUDOJ6G	Got mine!	I was able to get two invites (luckily) so i purchased one for me, and the other for my cousin. I refuse to pay $600-700 dollars for a console. Everything was brand new straight out the box no issues here! Thanks Amazon!	https://www.amazon.com/gp/customer-reviews/R3E2FZ2FUDOJ6G/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09DFHJTF5	5	2022-10-28T00:00:00.000Z
37	B09DFHJTF5	R1UXCLX1RVRJ7B	Great game console	It works like a charm, flawless game play	https://www.amazon.com/gp/customer-reviews/R1UXCLX1RVRJ7B/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09DFHJTF5	5	2022-10-25T00:00:00.000Z
38	B09DFHJTF5	R2GPVSBQIAAAB7	Myth	Ps5 is a myth. They don’t actually exist.	https://www.amazon.com/gp/customer-reviews/R2GPVSBQIAAAB7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09DFHJTF5	1	2022-10-24T00:00:00.000Z
39	B09DFHJTF5	R2TMDESPJBQLKJ	Favorite console	It took a while to get my hands on one and I finally got it!!	https://www.amazon.com/gp/customer-reviews/R2TMDESPJBQLKJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09DFHJTF5	5	2022-10-24T00:00:00.000Z
40	B09DFHJTF5	R121PJU90MZG4H	Incredible, I was not prepared for how cool this is.	This is it, it’s truly next gen. After a couple of years trying, we finally got the digital version thanks to Amazon’s waitlist.  I have a high end pc and was a little dismissive of what I thought the PS5 would be capable of. I’m glad my kids asked for it and I kept trying. It humbled me.  This console is truly next gen, it’s incredible. Even one of the launch games, Spider-Man Miles Morales, still looks, and more importantly fells, next gen now still.  This thing is optimized, loaded, and the combination of features working together makes it feel special. The controller is on another level. This is immersive. Awesome console!	https://www.amazon.com/gp/customer-reviews/R121PJU90MZG4H/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09DFHJTF5	5	2022-10-22T00:00:00.000Z
41	B09DFHJTF5	R8WTKMP78YIET	Powerful console	This does pretty much everything the disc version of the PS5 does other than play discs(obviously). If you’re a person that just streams and buys digital copies of games, this is the console to get.	https://www.amazon.com/gp/customer-reviews/R8WTKMP78YIET/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09DFHJTF5	5	2022-10-14T00:00:00.000Z
42	B09DFHJTF5	RS5A5R01B4B51	Best console!	This has great quality definitely worth the money!	https://www.amazon.com/gp/customer-reviews/RS5A5R01B4B51/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09DFHJTF5	5	2022-09-30T00:00:00.000Z
43	B09DFHJTF5	R12JUP5XUXDUNU	Very satisfied	Likes: Prompt delivery, excellent price. A brand new console that costed less than used or refurbished. This has been a good experience.	https://www.amazon.com/gp/customer-reviews/R12JUP5XUXDUNU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09DFHJTF5	5	2022-06-28T00:00:00.000Z
44	B09DFHJTF5	RNO5TJV6CTEAE	Wonderful System	I enjoy my ps5 so much. I have all 3 major consoles and I play this one the most. I'm really enjoy my ps plus premium service now.	https://www.amazon.com/gp/customer-reviews/RNO5TJV6CTEAE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09DFHJTF5	5	2022-06-19T00:00:00.000Z
45	B09DFHJTF5	R2F42OKDMN0Y6O	Exactly as described	Shipped within a week. Packaged well. Exactly as described and works perfectly. My son is in heaven with his new PS5	https://www.amazon.com/gp/customer-reviews/R2F42OKDMN0Y6O/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09DFHJTF5	5	2022-06-16T00:00:00.000Z
46	B09DFHJTF5	RZEIUJ86JI8E6	Great	Great	https://www.amazon.com/gp/customer-reviews/RZEIUJ86JI8E6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09DFHJTF5	5	2022-06-15T00:00:00.000Z
47	B09DFHJTF5	RMQFPNOGVIETF	A braindead monkey could do it	It is awesome	https://www.amazon.com/gp/customer-reviews/RMQFPNOGVIETF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09DFHJTF5	5	2022-05-29T00:00:00.000Z
48	B09DFHJTF5	R2F5IF8QIN1GC2	finally bought one	was fighting for my life to buy one	https://www.amazon.com/gp/customer-reviews/R2F5IF8QIN1GC2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09DFHJTF5	3	2022-05-22T00:00:00.000Z
49	B09DFHJTF5	RQ5EHV5VTVWDD	It's ight	Its alright, only if amazon allowed for normal people to get their hands on it.	https://www.amazon.com/gp/customer-reviews/RQ5EHV5VTVWDD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09DFHJTF5	4	2022-04-30T00:00:00.000Z
50	B09DFHJTF5	R2YZKLKJOHMBMU	Works good, high quality	What's not to like about a PS5? The exclusives sell this system for sure.	https://www.amazon.com/gp/customer-reviews/R2YZKLKJOHMBMU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09DFHJTF5	5	2022-04-26T00:00:00.000Z
51	B09DFHJTF5	R25Q7Y9S1K6WPA	Kids enjoy it	Graphics are good and processor is fast. No complaints as of yet.	https://www.amazon.com/gp/customer-reviews/R25Q7Y9S1K6WPA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09DFHJTF5	5	2022-04-16T00:00:00.000Z
52	B09DFHJTF5	R3545RXMBGFI79	Can't believe I got one but this is the new generation for gaming.	Super hard to get, but you can't be disappointed once you do. Have no issues playing with this bad boy. Hopefully in the future it becomes easier to get and not so scalp-able so others can get it too.	https://www.amazon.com/gp/customer-reviews/R3545RXMBGFI79/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09DFHJTF5	5	2022-04-12T00:00:00.000Z
53	B09DFHJTF5	R3J682XZMX6QX1	Great console	This console is amazing. Not worth the hype but it sure is great.	https://www.amazon.com/gp/customer-reviews/R3J682XZMX6QX1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09DFHJTF5	5	2022-04-06T00:00:00.000Z
54	B09DFHJTF5	RBP7XKJ3VG9UM	Take that scalpers	Got a ps5 on the amazon restock gonna play a ton of games and paid retail price. Don’t buy from scalpers save your money for games. System works great.	https://www.amazon.com/gp/customer-reviews/RBP7XKJ3VG9UM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09DFHJTF5	5	2022-04-04T00:00:00.000Z
55	B09DFHJTF5	RDH7KCL2AFIWM	What a joke restock	I was here on time and nothing what a joke. Sony is a joke.	https://www.amazon.com/gp/customer-reviews/RDH7KCL2AFIWM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09DFHJTF5	1	2022-03-30T00:00:00.000Z
56	B09DFHJTF5	R2SKTXYCG7FMHC	BS	These restocks are a joke	https://www.amazon.com/gp/customer-reviews/R2SKTXYCG7FMHC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09DFHJTF5	1	2022-03-30T00:00:00.000Z
57	B09DFHJTF5	R2CRKVJJI5ZBND	I am not a bot and I have gotten 3 of these  ..OVER RATED ...just wait	This is no better than the Xbox series X and there are no games. Chill and just wait. Follow YouTube channels for drops in one week in April I got An Xbox SX on a Monday at BestBuy drop & a PS5 at target in June I got another on Walmart using the app while stuck in traffic & in October I was invited to a Sony store direct drop.	https://www.amazon.com/gp/customer-reviews/R2CRKVJJI5ZBND/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09DFHJTF5	3	2022-03-30T00:00:00.000Z
58	B09DFHJTF5	R30S13Z8O9R0E2	Ps5 the best	Glad i was able to get one.. finally can play spiderman	https://www.amazon.com/gp/customer-reviews/R30S13Z8O9R0E2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09DFHJTF5	5	2022-03-14T00:00:00.000Z
59	B09DFHJTF5	R1GB6LBF5OS0C5	great!	glad to finally have this !	https://www.amazon.com/gp/customer-reviews/R1GB6LBF5OS0C5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09DFHJTF5	5	2022-03-12T00:00:00.000Z
60	B08H75RTZ8	R2RCZGBO19RBLL	Awesome	Fast in shipping it. No damage at all.	https://www.amazon.com/gp/customer-reviews/R2RCZGBO19RBLL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08H75RTZ8	5	2022-11-02T00:00:00.000Z
61	B08H75RTZ8	R3CB7FHQ3XRIV3	Probably my favourite console so far	I got an Xbox Series S earlier and I was already very happy with it, however, I had the chance to get a series X later and I will say, the extra storage alone and disc drive makes it worth it, not even talking about the 4k visuals. Add in gamepass and you have a hell of a deal on an amazing console	https://www.amazon.com/gp/customer-reviews/R3CB7FHQ3XRIV3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08H75RTZ8	5	2022-11-02T00:00:00.000Z
62	B08H75RTZ8	R170V0NQRLAVQU	Not bad!	My gaming PC works better than this does!	https://www.amazon.com/gp/customer-reviews/R170V0NQRLAVQU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08H75RTZ8	3	2022-11-01T00:00:00.000Z
63	B08H75RTZ8	R1LGIOX4C7KHE	Works great!	It got delivered on time and everything works!	https://www.amazon.com/gp/customer-reviews/R1LGIOX4C7KHE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08H75RTZ8	5	2022-11-01T00:00:00.000Z
64	B08H75RTZ8	R2IG3KD0RF5BEE	Audio delay	This console has an audio delay problem that makes games unplayable..stay away!!!!!! You have been warned	https://www.amazon.com/gp/customer-reviews/R2IG3KD0RF5BEE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08H75RTZ8	1	2022-11-01T00:00:00.000Z
65	B08H75RTZ8	R2IUJ4LGLIK5C2	Best Gaming Console yet	Awesome gaming console 👌🏿	https://www.amazon.com/gp/customer-reviews/R2IUJ4LGLIK5C2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08H75RTZ8	5	2022-11-01T00:00:00.000Z
66	B08H75RTZ8	R1V3GMA5TH8R0B	Lags out of online games	Whenever I play online games 2k fort apex etc it lags so much and just lags me out the game and if anyone knows how to fix it please help	https://www.amazon.com/gp/customer-reviews/R1V3GMA5TH8R0B/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08H75RTZ8	2	2022-10-31T00:00:00.000Z
67	B08H75RTZ8	RAHIZ1EUIDAN3	$500 for wifi disconnection frustration	the console disconnects from wifi constantly - every 20-30 mins- end up having to reboot it all the time.  Have tried various fixes from what i scoured on the googles (seperate 2.4 and 5ghz ssid's for example). What eventually worked to have stable wifi was disabling WPA2, which i didnt like.  Ended up using an old router that was AC compatible and ethernet wired the X to the router, then bridged it to our wifi.  disappointed in the $$$ paid for this issue, which has been ongoing since its launch. simple google search will show other users with same issue.	https://www.amazon.com/gp/customer-reviews/RAHIZ1EUIDAN3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08H75RTZ8	2	2022-10-31T00:00:00.000Z
68	B08H75RTZ8	R3G3N47ADUPA2O	Series X	Great, powerful system. More bang for your buck than a PS5.	https://www.amazon.com/gp/customer-reviews/R3G3N47ADUPA2O/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08H75RTZ8	5	2022-10-31T00:00:00.000Z
69	B08H75RTZ8	R1TNPD4AVIKPLH	Everything as expected	Fast delivery, best price and availability.	https://www.amazon.com/gp/customer-reviews/R1TNPD4AVIKPLH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08H75RTZ8	5	2022-10-30T00:00:00.000Z
70	B08H75RTZ8	R13K4OKQGKZYVH	Everything you could expect and more!	What can you really write??? It’s awesome. Graphics are incredible. It’s backwards compatible so I was able to out the 360 and one in the closet. Fits on its side in my entertainment stand.	https://www.amazon.com/gp/customer-reviews/R13K4OKQGKZYVH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08H75RTZ8	5	2022-10-30T00:00:00.000Z
71	B08H75RTZ8	R3RPEV2QA8EH8F	I'm really disappointed with this.	I just want to start by saying I do not own a 4k TV, and I would not buy this console unless you own a 4k TV. I dont know how much better the picture quality will be on a 4k TV, I would hope much much better but I think its garbage and a waste of money. With that said I do have a really nice flat screen TV, and the picture quality absolutely sucks. I mean complete garbage. Specially for paying $499.99. Theres not many games for the series X either. I have the game pass and its mostly xbox 360 games. Its like i bought the series x just to play 360 games. Anyways I'm Returning it.	https://www.amazon.com/gp/customer-reviews/R3RPEV2QA8EH8F/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08H75RTZ8	1	2022-10-29T00:00:00.000Z
72	B08H75RTZ8	RVZJ4HGPVNYRY	Couldn't be happier	Exactly as described brand new and sealed. Even came 3 days early. Wasn't supposed to arrive till the 31st and got it before noon today.	https://www.amazon.com/gp/customer-reviews/RVZJ4HGPVNYRY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08H75RTZ8	5	2022-10-29T00:00:00.000Z
73	B08H75RTZ8	R1S1LRAOSGYSJQ	Works quite well but...	The console works quite well, but it does not state that you must install games on the internal storage in order to play the Series X compatible games. If installed on an external hard drive or the new storage devices only for Series X, they are specifically for storage only. In order to play an installed game, you must move it into the internal hard drive. Another thing is you must give the console physical space, otherwise, it will overheat quite easily.	https://www.amazon.com/gp/customer-reviews/R1S1LRAOSGYSJQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08H75RTZ8	4	2022-10-28T00:00:00.000Z
74	B08H75RTZ8	R19ULJCYQGNGJR	Fast solid state hard drive makes it Fast	Easy to replace my xbox one x Love the speed. Much Improved xbox series x Loading new copies of my games so nice and clean I don’t expect as much problems Having fun :-)	https://www.amazon.com/gp/customer-reviews/R19ULJCYQGNGJR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08H75RTZ8	5	2022-10-28T00:00:00.000Z
75	B08H75RTZ8	RNKILPDZ0NWHS	Solo me duró 2 meses	Tan solo duró 2 meses bn y después fallo,póngale garantía cuando la compren	https://www.amazon.com/gp/customer-reviews/RNKILPDZ0NWHS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08H75RTZ8	3	2022-10-28T00:00:00.000Z
76	B08H75RTZ8	R2FOFVUTEVGK22	Learning Will Happen	I bought this XBOX Series X specifically because GTA Online was heavily promoting a major upgrade and bonus materials only on the XBOX Series X and PS5 platforms. I figured i needed a upgrade anyway. HOWEVER, what no one is saying is that my current GTA account will not cross over to XBOX, so I would have to start over with a whole new GTA online account. Disappointment.  Also, make sure when purchasing controllers you review the list of games your new controller will work with. The G920 from Logitech for example does not work with every game and does not show up in the XBOX APP's.	https://www.amazon.com/gp/customer-reviews/R2FOFVUTEVGK22/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08H75RTZ8	3	2022-10-28T00:00:00.000Z
77	B08H75RTZ8	RNHNOND9FWRI4	Great Console	Couldn't ask for more. Loads pretty fast, graphics are great. I can load multiple games at once, at least 3 according to my experience. The controller is comfortable, you can play for hours without hurting your fingers. Just waiting for the next upcoming games to continue enjoying my new xbox	https://www.amazon.com/gp/customer-reviews/RNHNOND9FWRI4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08H75RTZ8	5	2022-10-27T00:00:00.000Z
